State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2005,Parts per million,No Events,3055,84,128,153,0,617,0,0,Certified,37,0.064313,0.013304,0.117,07/20/2005 01:00:00 PM,0.111,07/06/2005 03:00:00 PM,0.102,07/19/2005 04:00:00 PM,0.094,07/13/2005 03:00:00 PM,,,,,0.111,0.102,0.088,0.082,0.07,0.062,0.049,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2005,Parts per million,No Events,3064,83,127,153,0,0,2,2,Certified,0,0.057291,0.0106,0.089,07/06/2005 11:00:00 AM,0.088,07/20/2005 09:00:00 AM,0.084,07/19/2005 11:00:00 AM,0.079,08/07/2005 10:00:00 AM,,,,,0.088,0.084,0.077,0.073,0.063,0.056,0.045,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2005,Parts per million,No Events,3064,83,127,153,0,0,8,8,Certified,0,0.057291,0.0106,0.089,07/06/2005 11:00:00 AM,0.088,07/20/2005 09:00:00 AM,0.084,07/19/2005 11:00:00 AM,0.079,08/07/2005 10:00:00 AM,,,,,0.088,0.084,0.077,0.073,0.063,0.056,0.045,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2005,Knots,No Events,8708,99,362,365,0,52,,,Certification not required,1,5.028353,3.309278,22.8,04/19/2005 10:00:00 AM,22.8,06/17/2005 08:00:00 PM,22.7,01/08/2005 07:00:00 AM,22.7,06/21/2005 05:00:00 PM,,,,,16.5,14.2,11.6,9.6,6.5,4,2,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/06/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61102,1,NAD83,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2005,Degrees Compass,No Events,8708,99,362,365,0,52,,,Certification not required,4,167.406178,98.714331,360,01/23/2005 12:00:00 PM,360,06/13/2005 09:00:00 AM,360,06/20/2005 08:00:00 AM,360,06/28/2005 09:00:00 AM,,,,,354,347,329,304,250,171,56,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/06/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2005,Micrograms/cubic meter (LC),No Events,115,94,115,122,0,7,1,1,Certified,0,7.810435,6.461171,37.6,01/19/2005 12:00:00 AM,34.1,01/16/2005 12:00:00 AM,25.9,02/18/2005 12:00:00 AM,25.2,12/12/2005 12:00:00 AM,,,,,34.1,25.9,21.3,16,9,5.8,2.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/10/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2013,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2005,Micrograms/cubic meter (LC),No Events,115,94,115,122,0,7,1,1,Certified,0,7.810435,6.461171,37.6,01/19/2005 12:00:00 AM,34.1,01/16/2005 12:00:00 AM,25.9,02/18/2005 12:00:00 AM,25.2,12/12/2005 12:00:00 AM,,,,,34.1,25.9,21.3,16,9,5.8,2.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/10/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2005,Micrograms/cubic meter (LC),No Events,115,94,115,122,0,7,,,Certified,0,7.810435,6.461171,37.6,01/19/2005 12:00:00 AM,34.1,01/16/2005 12:00:00 AM,25.9,02/18/2005 12:00:00 AM,25.2,12/12/2005 12:00:00 AM,,,,,34.1,25.9,21.3,16,9,5.8,2.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/10/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2013,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2005,Micrograms/cubic meter (LC),No Events,115,94,115,122,0,7,,,Certified,0,7.810435,6.461171,37.6,01/19/2005 12:00:00 AM,34.1,01/16/2005 12:00:00 AM,25.9,02/18/2005 12:00:00 AM,25.2,12/12/2005 12:00:00 AM,,,,,34.1,25.9,21.3,16,9,5.8,2.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/10/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,7001,44201,1,NAD27,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2005,Parts per million,No Events,6436,97,148,153,0,116,0,0,Certification not required,32,0.061655,0.010309,0.09,07/20/2005 12:00:00 PM,0.089,06/08/2005 11:00:00 AM,0.088,06/27/2005 01:00:00 PM,0.082,05/03/2005 10:00:00 AM,,,,,0.089,0.088,0.081,0.079,0.067,0.061,0.051,WASHAKIE,Utah,Box Elder,,"Brigham City, UT",08/04/2012 12:00:00 AM,"8600 WEST 24000 NORTH PORTAGE, UTAH
(41.94595, -112.233179)"
