State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2009,Parts per million,No Events,3682,94,144,153,0,198,0,0,Certification not required,11,0.059375,0.010341,0.099,08/22/2009 03:00:00 PM,0.086,07/27/2009 12:00:00 PM,0.084,07/23/2009 01:00:00 PM,0.079,06/30/2009 02:00:00 PM,,,,,0.086,0.084,0.078,0.073,0.066,0.06,0.048,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2009,Parts per million,No Events,3689,93,143,153,0,0,0,0,Certification not required,0,0.053175,0.00813,0.079,08/22/2009 11:00:00 AM,0.07,06/24/2009 11:00:00 AM,0.069,07/23/2009 10:00:00 AM,0.067,06/29/2009 11:00:00 AM,,,,,0.07,0.069,0.066,0.063,0.059,0.054,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2009,Parts per million,No Events,3689,93,143,153,0,0,1,1,Certification not required,0,0.053175,0.00813,0.079,08/22/2009 11:00:00 AM,0.07,06/24/2009 11:00:00 AM,0.069,07/23/2009 10:00:00 AM,0.067,06/29/2009 11:00:00 AM,,,,,0.07,0.069,0.066,0.063,0.059,0.054,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2009,Knots,No Events,8755,100,365,365,0,5,,,Certification not required,31,4.590166,3.029081,24.4,10/04/2009 07:00:00 AM,23.5,10/04/2009 06:00:00 AM,22.9,10/04/2009 05:00:00 AM,22.3,10/04/2009 09:00:00 AM,,,,,14.2,12.9,10.7,8.9,6,3.6,1.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/13/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61102,1,NAD83,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2009,Degrees Compass,No Events,8755,100,365,365,0,5,,,Certification not required,0,166.126099,99.300546,360,01/05/2009 09:00:00 PM,360,03/15/2009 10:00:00 PM,360,03/30/2009 05:00:00 AM,360,05/07/2009 06:00:00 AM,,,,,354,347,328,301,247,174,51,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/13/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,120,98,120,122,0,2,3,3,Certification not required,0,8.506667,8.344462,47.9,01/22/2009 12:00:00 AM,38.6,01/19/2009 12:00:00 AM,35.7,12/30/2009 12:00:00 AM,30.8,12/21/2009 12:00:00 AM,,,,,38.6,35.7,28.3,23.1,8.7,5.9,2.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/07/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2013,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,120,98,120,122,0,2,3,3,Certification not required,0,8.506667,8.344462,47.9,01/22/2009 12:00:00 AM,38.6,01/19/2009 12:00:00 AM,35.7,12/30/2009 12:00:00 AM,30.8,12/21/2009 12:00:00 AM,,,,,38.6,35.7,28.3,23.1,8.7,5.9,2.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/07/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,120,98,120,122,0,2,,,Certification not required,0,8.506667,8.344462,47.9,01/22/2009 12:00:00 AM,38.6,01/19/2009 12:00:00 AM,35.7,12/30/2009 12:00:00 AM,30.8,12/21/2009 12:00:00 AM,,,,,38.6,35.7,28.3,23.1,8.7,5.9,2.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/07/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2013,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,120,98,120,122,0,2,,,Certification not required,0,8.506667,8.344462,47.9,01/22/2009 12:00:00 AM,38.6,01/19/2009 12:00:00 AM,35.7,12/30/2009 12:00:00 AM,30.8,12/21/2009 12:00:00 AM,,,,,38.6,35.7,28.3,23.1,8.7,5.9,2.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",06/07/2014 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC - FDMS-Gravimetric,2009,Micrograms/cubic meter (LC),No Events,346,96,14,15,0,6,,,Certification not required,0,23.925434,10.865824,47.6,12/29/2009 11:00:00 AM,47.3,12/29/2009 10:00:00 AM,47.1,12/29/2009 12:00:00 PM,46.9,12/29/2009 08:00:00 PM,,,,,46.9,45.3,40.9,37.4,32.1,24.1,6,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/13/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2009,Micrograms/cubic meter (LC),No Events,14,93,14,15,0,0,,,Certification not required,0,23.728571,9.687854,40.9,12/29/2009 12:00:00 AM,34.7,12/30/2009 12:00:00 AM,30.3,12/18/2009 12:00:00 AM,29.7,12/21/2009 12:00:00 AM,,,,,40.9,40.9,40.9,34.7,29.7,25.2,10.4,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/13/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
