State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,4113,96,147,153,0,279,0,0,Certification not required,18,0.056449,0.008151,0.081,08/23/2011 02:00:00 PM,0.076,07/02/2011 02:00:00 PM,0.076,08/13/2011 04:00:00 PM,0.075,06/27/2011 03:00:00 PM,,,,,0.076,0.076,0.071,0.067,0.062,0.057,0.049,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4154,95,145,153,0,0,0,0,Certification not required,0,0.050614,0.006699,0.066,08/23/2011 11:00:00 AM,0.065,08/13/2011 11:00:00 AM,0.065,08/24/2011 11:00:00 AM,0.063,06/04/2011 01:00:00 PM,,,,,0.065,0.065,0.063,0.06,0.055,0.051,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4154,95,145,153,0,0,0,0,Certification not required,0,0.050614,0.006699,0.066,08/23/2011 11:00:00 AM,0.065,08/13/2011 11:00:00 AM,0.065,08/24/2011 11:00:00 AM,0.063,06/04/2011 01:00:00 PM,,,,,0.065,0.065,0.063,0.06,0.055,0.051,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2011,Knots,No Events,8754,100,365,365,0,6,,,Certification not required,2,4.676719,3.152894,24.8,05/15/2011 09:00:00 AM,24.3,05/15/2011 10:00:00 AM,22.8,03/23/2011 11:00:00 PM,22.8,05/15/2011 11:00:00 AM,,,,,15.2,13.3,11.1,9.1,6.1,3.6,1.8,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",04/12/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61102,1,NAD83,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2011,Degrees Compass,No Events,8754,100,365,365,0,6,,,Certification not required,0,164.280215,98.626506,360,05/15/2011 11:00:00 PM,360,07/19/2011 12:00:00 AM,360,08/07/2011 05:00:00 PM,360,11/29/2011 07:00:00 PM,,,,,350,342,325,298,244,176,49,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",04/12/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68101,1,NAD83,Sample Flow Rate- CV,24 HOUR,,Observed Values,Multiple Methods Used,2011,Percent,No Events,118,100,60,61,0,2,,,Certification not required,44,0.172881,0.163384,1,07/29/2011 12:00:00 AM,0.8,07/26/2011 12:00:00 AM,0.8,08/04/2011 12:00:00 AM,0.7,08/01/2011 12:00:00 AM,,,,,0.8,0.8,0.4,0.3,0.2,0.1,0.05,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",01/20/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68102,1,NAD83,Sample Volume,24 HOUR,,Observed Values,Multiple Methods Used,2011,Cubic meter,No Events,118,100,60,61,0,2,,,Certification not required,0,23.967797,0.147272,24,01/06/2011 12:00:00 AM,24,01/09/2011 12:00:00 AM,24,01/12/2011 12:00:00 AM,24,01/15/2011 12:00:00 AM,,,,,24,24,24,24,24,24,24,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",01/20/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68103,1,NAD83,Ambient Min Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2011,Degrees Centigrade,No Events,118,100,60,61,0,2,,,Certification not required,0,4.833898,9.524653,23.5,08/25/2011 12:00:00 AM,22.9,08/31/2011 12:00:00 AM,22,08/28/2011 12:00:00 AM,21.9,06/29/2011 12:00:00 AM,,,,,22.9,22,20.3,18.3,11.9,3.5,-6.5,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",01/20/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68104,1,NAD83,Ambient Max Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2011,Degrees Centigrade,No Events,118,100,60,61,0,2,,,Certification not required,0,16.659322,11.052905,36.6,08/25/2011 12:00:00 AM,35.3,08/13/2011 12:00:00 AM,35.2,07/17/2011 12:00:00 AM,34.9,08/22/2011 12:00:00 AM,,,,,35.3,35.2,33.7,32.1,27.5,14.8,2.8,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",01/20/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68105,1,NAD83,Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2011,Degrees Centigrade,No Events,118,100,60,61,0,2,,,Certification not required,0,10.752542,10.630586,31.1,08/25/2011 12:00:00 AM,29.1,08/31/2011 12:00:00 AM,28.7,06/29/2011 12:00:00 AM,28.3,08/22/2011 12:00:00 AM,,,,,29.1,28.7,27.3,26.1,21,8.8,-1.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",01/20/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
