State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pullutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2002,Parts per million,Events Inclucded,3617,99,152,153,23,55,0,0,Certified,17,0.065816,0.013667,0.11,07/14/2002 01:00:00 PM,0.105,06/25/2002 03:00:00 PM,0.096,06/26/2002 03:00:00 PM,0.094,07/02/2002 02:00:00 PM,,,,,0.105,0.094,0.089,0.084,0.075,0.065,0.049,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2002,Parts per million,Events Excluded,3594,99,152,153,0,55,0,0,Certified,17,0.065642,0.013544,0.11,07/14/2002 01:00:00 PM,0.105,06/25/2002 03:00:00 PM,0.096,06/26/2002 03:00:00 PM,0.094,07/02/2002 02:00:00 PM,,,,,0.105,0.094,0.088,0.083,0.074,0.065,0.048,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2002,Parts per million,Concurred Events Excluded,3617,99,152,153,23,55,0,0,Certified,17,0.065816,0.013667,0.11,07/14/2002 01:00:00 PM,0.105,06/25/2002 03:00:00 PM,0.096,06/26/2002 03:00:00 PM,0.094,07/02/2002 02:00:00 PM,,,,,0.105,0.094,0.089,0.084,0.075,0.065,0.049,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2002,Parts per million,Concurred Events Excluded,3656,99,152,153,0,0,3,3,Certified,0,0.058895,0.012284,0.095,06/25/2002 11:00:00 AM,0.091,07/14/2002 10:00:00 AM,0.086,07/02/2002 10:00:00 AM,0.084,06/24/2002 11:00:00 AM,,,,,0.091,0.084,0.078,0.075,0.066,0.059,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2002,Parts per million,Events Inclucded,3656,99,152,153,0,0,3,3,Certified,0,0.058895,0.012284,0.095,06/25/2002 11:00:00 AM,0.091,07/14/2002 10:00:00 AM,0.086,07/02/2002 10:00:00 AM,0.084,06/24/2002 11:00:00 AM,,,,,0.091,0.084,0.078,0.075,0.066,0.059,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2002,Parts per million,Events Excluded,3639,99,152,153,0,0,3,3,Certified,0,0.058724,0.012143,0.095,06/25/2002 11:00:00 AM,0.091,07/14/2002 10:00:00 AM,0.086,07/02/2002 10:00:00 AM,0.084,06/24/2002 11:00:00 AM,,,,,0.091,0.084,0.077,0.074,0.066,0.059,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2002,Parts per million,Concurred Events Excluded,3656,99,152,153,0,0,15,15,Certified,0,0.058895,0.012284,0.095,06/25/2002 11:00:00 AM,0.091,07/14/2002 10:00:00 AM,0.086,07/02/2002 10:00:00 AM,0.084,06/24/2002 11:00:00 AM,,,,,0.091,0.084,0.078,0.075,0.066,0.059,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2002,Parts per million,Events Inclucded,3656,99,152,153,0,0,15,15,Certified,0,0.058895,0.012284,0.095,06/25/2002 11:00:00 AM,0.091,07/14/2002 10:00:00 AM,0.086,07/02/2002 10:00:00 AM,0.084,06/24/2002 11:00:00 AM,,,,,0.091,0.084,0.078,0.075,0.066,0.059,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2002,Parts per million,Events Excluded,3639,99,152,153,0,0,14,14,Certified,0,0.058724,0.012143,0.095,06/25/2002 11:00:00 AM,0.091,07/14/2002 10:00:00 AM,0.086,07/02/2002 10:00:00 AM,0.084,06/24/2002 11:00:00 AM,,,,,0.091,0.084,0.077,0.074,0.066,0.059,0.043,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2002,Knots,No Events,8756,100,365,365,0,4,,,Certification not required,0,4.802867,3.03151,22,04/14/2002 09:00:00 PM,21.5,06/22/2002 04:00:00 AM,21.4,07/25/2002 08:00:00 PM,21.1,07/16/2002 06:00:00 PM,,,,,14.1,12.8,10.9,9.4,6.4,3.7,1.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/05/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
